Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
14/10/00,Man City,Bradford,2.0,0.0,H,2.0,0.0,H
14/10/00,Sunderland,Chelsea,1.0,0.0,H,0.0,0.0,D
15/10/00,Derby,Liverpool,0.0,4.0,A,0.0,1.0,A
16/10/00,Middlesbrough,Newcastle,1.0,3.0,A,0.0,1.0,A
21/10/00,Bradford,Ipswich,0.0,2.0,A,0.0,1.0,A
21/10/00,Charlton,Middlesbrough,1.0,0.0,H,0.0,0.0,D
21/10/00,Chelsea,Coventry,6.0,1.0,H,2.0,0.0,H
21/10/00,Liverpool,Leicester,1.0,0.0,H,0.0,0.0,D
21/10/00,Man United,Leeds,3.0,0.0,H,1.0,0.0,H
21/10/00,Newcastle,Everton,0.0,1.0,A,0.0,0.0,D
21/10/00,Tottenham,Derby,3.0,1.0,H,2.0,1.0,H
21/10/00,West Ham,Arsenal,1.0,2.0,A,0.0,2.0,A
22/10/00,Aston Villa,Sunderland,0.0,0.0,D,0.0,0.0,D
23/10/00,Southampton,Man City,0.0,2.0,A,0.0,1.0,A
28/10/00,Arsenal,Man City,5.0,0.0,H,1.0,0.0,H
28/10/00,Aston Villa,Charlton,2.0,1.0,H,2.0,0.0,H
28/10/00,Chelsea,Tottenham,3.0,0.0,H,2.0,0.0,H
28/10/00,Ipswich,Middlesbrough,2.0,1.0,H,2.0,0.0,H
28/10/00,Leicester,Derby,2.0,1.0,H,1.0,1.0,D
28/10/00,Man United,Southampton,5.0,0.0,H,2.0,0.0,H
28/10/00,Sunderland,Coventry,1.0,0.0,H,0.0,0.0,D
28/10/00,West Ham,Newcastle,1.0,0.0,H,0.0,0.0,D
29/10/00,Bradford,Leeds,1.0,1.0,D,1.0,0.0,H
29/10/00,Liverpool,Everton,3.0,1.0,H,1.0,1.0,D
04/11/00,Charlton,Bradford,2.0,0.0,H,2.0,0.0,H
04/11/00,Coventry,Man United,1.0,2.0,A,0.0,2.0,A
04/11/00,Leeds,Liverpool,4.0,3.0,H,1.0,2.0,A
04/11/00,Man City,Leicester,0.0,1.0,A,0.0,0.0,D
04/11/00,Middlesbrough,Arsenal,0.0,1.0,A,0.0,1.0,A
04/11/00,Newcastle,Ipswich,2.0,1.0,H,1.0,1.0,D
04/11/00,Southampton,Chelsea,3.0,2.0,H,2.0,0.0,H
04/11/00,Tottenham,Sunderland,2.0,1.0,H,1.0,0.0,H
05/11/00,Everton,Aston Villa,0.0,1.0,A,0.0,0.0,D
06/11/00,Derby,West Ham,0.0,0.0,D,0.0,0.0,D
11/11/00,Arsenal,Derby,0.0,0.0,D,0.0,0.0,D
11/11/00,Aston Villa,Tottenham,2.0,0.0,H,1.0,0.0,H
11/11/00,Bradford,Everton,0.0,1.0,A,0.0,0.0,D
11/11/00,Ipswich,Charlton,2.0,0.0,H,0.0,0.0,D
11/11/00,Leicester,Newcastle,1.0,1.0,D,0.0,0.0,D
11/11/00,Man United,Middlesbrough,2.0,1.0,H,0.0,1.0,A
11/11/00,Sunderland,Southampton,2.0,2.0,D,1.0,1.0,D
11/11/00,West Ham,Man City,4.0,1.0,H,0.0,1.0,A
12/11/00,Chelsea,Leeds,1.0,1.0,D,0.0,0.0,D
12/11/00,Liverpool,Coventry,4.0,1.0,H,1.0,0.0,H
18/11/00,Charlton,Chelsea,2.0,0.0,H,1.0,0.0,H
